regime,start,end
WOI,2009-06-02,2009-06-03
Crisis,2009-06-03,2009-06-04
WOI,2009-06-04,2009-06-29
Steady_State,2009-06-29,2009-06-30
WOI,2009-06-30,2009-07-03
Inflation,2009-07-03,2009-07-06
WOI,2009-07-06,2009-07-10
Steady_State,2009-07-10,2009-07-13
WOI,2009-07-13,2009-07-16
Steady_State,2009-07-16,2009-07-17
WOI,2009-07-17,2009-07-22
Steady_State,2009-07-22,2009-07-23
WOI,2009-07-23,2009-07-24
Steady_State,2009-07-24,2009-07-28
WOI,2009-07-28,2009-08-04
Steady_State,2009-08-04,2009-08-05
Crisis,2009-08-05,2009-08-06
WOI,2009-08-06,2009-08-10
Steady_State,2009-08-10,2009-08-11
WOI,2009-08-11,2009-08-25
Steady_State,2009-08-25,2009-09-01
WOI,2009-09-01,2009-09-02
Steady_State,2009-09-02,2009-09-03
WOI,2009-09-03,2009-09-07
Inflation,2009-09-07,2009-09-08
WOI,2009-09-08,2009-09-09
Steady_State,2009-09-09,2009-09-10
WOI,2009-09-10,2009-09-17
Steady_State,2009-09-17,2009-09-24
WOI,2009-09-24,2009-09-25
Steady_State,2009-09-25,2009-09-28
WOI,2009-09-28,2009-09-29
Steady_State,2009-09-29,2009-09-30
WOI,2009-09-30,2009-10-07
Steady_State,2009-10-07,2009-10-08
WOI,2009-10-08,2009-10-12
Steady_State,2009-10-12,2009-10-14
WOI,2009-10-14,2009-10-15
Steady_State,2009-10-15,2009-10-16
WOI,2009-10-16,2009-10-20
Steady_State,2009-10-20,2009-10-21
WOI,2009-10-21,2009-11-06
Steady_State,2009-11-06,2009-11-09
WOI,2009-11-09,2009-11-10
Steady_State,2009-11-10,2009-11-12
WOI,2009-11-12,2009-11-13
Steady_State,2009-11-13,2009-11-16
Crisis,2009-11-16,2009-11-17
Steady_State,2009-11-17,2009-11-19
WOI,2009-11-19,2009-11-20
Steady_State,2009-11-20,2009-11-23
WOI,2009-11-23,2009-11-24
Steady_State,2009-11-24,2009-11-25
WOI,2009-11-25,2009-11-26
Crisis,2009-11-26,2009-11-27
WOI,2009-11-27,2009-12-01
Crisis,2009-12-01,2009-12-02
Steady_State,2009-12-02,2009-12-04
WOI,2009-12-04,2009-12-07
Steady_State,2009-12-07,2009-12-08
WOI,2009-12-08,2009-12-10
Steady_State,2009-12-10,2009-12-14
WOI,2009-12-14,2009-12-15
Steady_State,2009-12-15,2009-12-16
WOI,2009-12-16,2009-12-21
Steady_State,2009-12-21,2009-12-23
WOI,2009-12-23,2009-12-24
Steady_State,2009-12-24,2009-12-25
Inflation,2009-12-25,2009-12-28
WOI,2009-12-28,2009-12-29
Steady_State,2009-12-29,2010-01-01
Inflation,2010-01-01,2010-01-04
WOI,2010-01-04,2010-01-08
Steady_State,2010-01-08,2010-01-12
WOI,2010-01-12,2010-01-14
Steady_State,2010-01-14,2010-01-15
WOI,2010-01-15,2010-01-18
Inflation,2010-01-18,2010-01-19
Steady_State,2010-01-19,2010-01-20
WOI,2010-01-20,2010-02-04
Crisis,2010-02-04,2010-02-05
WOI,2010-02-05,2010-02-12
Steady_State,2010-02-12,2010-02-15
Inflation,2010-02-15,2010-02-16
WOI,2010-02-16,2010-02-22
Steady_State,2010-02-22,2010-02-23
WOI,2010-02-23,2010-03-04
Steady_State,2010-03-04,2010-03-05
WOI,2010-03-05,2010-03-08
Steady_State,2010-03-08,2010-03-16
WOI,2010-03-16,2010-03-18
Steady_State,2010-03-18,2010-03-19
WOI,2010-03-19,2010-03-22
Steady_State,2010-03-22,2010-03-24
WOI,2010-03-24,2010-03-25
Steady_State,2010-03-25,2010-03-29
WOI,2010-03-29,2010-03-30
Steady_State,2010-03-30,2010-04-01
WOI,2010-04-01,2010-04-02
Crisis,2010-04-02,2010-04-05
WOI,2010-04-05,2010-04-06
Steady_State,2010-04-06,2010-04-14
WOI,2010-04-14,2010-04-15
Steady_State,2010-04-15,2010-04-16
WOI,2010-04-16,2010-04-20
Steady_State,2010-04-20,2010-04-26
WOI,2010-04-26,2010-04-29
Steady_State,2010-04-29,2010-04-30
WOI,2010-04-30,2010-05-06
Crisis,2010-05-06,2010-05-11
WOI,2010-05-11,2010-05-20
Crisis,2010-05-20,2010-05-24
WOI,2010-05-24,2010-05-31
Inflation,2010-05-31,2010-06-01
WOI,2010-06-01,2010-06-11
Steady_State,2010-06-11,2010-06-14
WOI,2010-06-14,2010-06-16
Steady_State,2010-06-16,2010-06-21
WOI,2010-06-21,2010-06-28
Steady_State,2010-06-28,2010-06-29
WOI,2010-06-29,2010-07-02
Steady_State,2010-07-02,2010-07-05
Inflation,2010-07-05,2010-07-06
WOI,2010-07-06,2010-07-12
Steady_State,2010-07-12,2010-07-13
WOI,2010-07-13,2010-07-14
Steady_State,2010-07-14,2010-07-15
WOI,2010-07-15,2010-07-19
Steady_State,2010-07-19,2010-07-21
WOI,2010-07-21,2010-07-23
Steady_State,2010-07-23,2010-07-29
WOI,2010-07-29,2010-08-03
Steady_State,2010-08-03,2010-08-10
WOI,2010-08-10,2010-08-13
Steady_State,2010-08-13,2010-08-19
WOI,2010-08-19,2010-08-23
Steady_State,2010-08-23,2010-08-24
WOI,2010-08-24,2010-08-25
Steady_State,2010-08-25,2010-08-26
WOI,2010-08-26,2010-09-02
Steady_State,2010-09-02,2010-09-06
Inflation,2010-09-06,2010-09-07
Steady_State,2010-09-07,2010-09-13
WOI,2010-09-13,2010-09-14
Steady_State,2010-09-14,2010-09-20
WOI,2010-09-20,2010-09-22
Steady_State,2010-09-22,2010-09-24
WOI,2010-09-24,2010-09-27
Steady_State,2010-09-27,2010-10-05
WOI,2010-10-05,2010-10-06
Steady_State,2010-10-06,2010-10-08
WOI,2010-10-08,2010-10-11
Steady_State,2010-10-11,2010-10-13
WOI,2010-10-13,2010-10-21
Steady_State,2010-10-21,2010-10-27
WOI,2010-10-27,2010-10-28
Steady_State,2010-10-28,2010-11-04
WOI,2010-11-04,2010-11-05
Steady_State,2010-11-05,2010-11-09
WOI,2010-11-09,2010-11-11
Steady_State,2010-11-11,2010-11-12
WOI,2010-11-12,2010-11-17
Steady_State,2010-11-17,2010-11-18
WOI,2010-11-18,2010-11-19
Steady_State,2010-11-19,2010-11-23
WOI,2010-11-23,2010-11-25
Inflation,2010-11-25,2010-11-26
WOI,2010-11-26,2010-12-02
Steady_State,2010-12-02,2010-12-07
WOI,2010-12-07,2010-12-09
Steady_State,2010-12-09,2010-12-13
WOI,2010-12-13,2010-12-14
Steady_State,2010-12-14,2010-12-16
WOI,2010-12-16,2010-12-17
Steady_State,2010-12-17,2010-12-24
Inflation,2010-12-24,2010-12-27
Steady_State,2010-12-27,2011-01-04
WOI,2011-01-04,2011-01-05
Steady_State,2011-01-05,2011-01-06
WOI,2011-01-06,2011-01-07
Steady_State,2011-01-07,2011-01-17
Inflation,2011-01-17,2011-01-18
Steady_State,2011-01-18,2011-01-19
WOI,2011-01-19,2011-01-21
Steady_State,2011-01-21,2011-01-28
WOI,2011-01-28,2011-01-31
Steady_State,2011-01-31,2011-02-07
WOI,2011-02-07,2011-02-08
Steady_State,2011-02-08,2011-02-18
WOI,2011-02-18,2011-02-21
Inflation,2011-02-21,2011-02-22
WOI,2011-02-22,2011-02-24
Steady_State,2011-02-24,2011-02-25
WOI,2011-02-25,2011-03-02
Steady_State,2011-03-02,2011-03-03
WOI,2011-03-03,2011-03-04
Steady_State,2011-03-04,2011-03-08
WOI,2011-03-08,2011-03-09
Steady_State,2011-03-09,2011-03-10
WOI,2011-03-10,2011-03-22
Steady_State,2011-03-22,2011-04-12
WOI,2011-04-12,2011-04-13
Steady_State,2011-04-13,2011-04-20
WOI,2011-04-20,2011-04-21
Steady_State,2011-04-21,2011-04-22
Inflation,2011-04-22,2011-04-25
Steady_State,2011-04-25,2011-05-05
WOI,2011-05-05,2011-05-06
Steady_State,2011-05-06,2011-05-11
WOI,2011-05-11,2011-05-12
Steady_State,2011-05-12,2011-05-23
WOI,2011-05-23,2011-05-24
Steady_State,2011-05-24,2011-05-30
Inflation,2011-05-30,2011-05-31
Steady_State,2011-05-31,2011-06-01
WOI,2011-06-01,2011-06-07
Steady_State,2011-06-07,2011-06-09
WOI,2011-06-09,2011-06-13
Steady_State,2011-06-13,2011-06-14
WOI,2011-06-14,2011-06-20
Steady_State,2011-06-20,2011-06-23
WOI,2011-06-23,2011-06-27
Steady_State,2011-06-27,2011-07-01
WOI,2011-07-01,2011-07-04
Inflation,2011-07-04,2011-07-05
Steady_State,2011-07-05,2011-07-11
WOI,2011-07-11,2011-07-13
Steady_State,2011-07-13,2011-07-19
WOI,2011-07-19,2011-07-20
Steady_State,2011-07-20,2011-07-21
WOI,2011-07-21,2011-07-25
Steady_State,2011-07-25,2011-07-27
WOI,2011-07-27,2011-07-28
Steady_State,2011-07-28,2011-07-29
WOI,2011-07-29,2011-08-01
Steady_State,2011-08-01,2011-08-02
WOI,2011-08-02,2011-08-04
Crisis,2011-08-04,2011-08-12
WOI,2011-08-12,2011-08-16
Steady_State,2011-08-16,2011-08-17
WOI,2011-08-17,2011-08-18
Crisis,2011-08-18,2011-08-19
WOI,2011-08-19,2011-08-23
Crisis,2011-08-23,2011-08-24
WOI,2011-08-24,2011-09-05
Crisis,2011-09-05,2011-09-06
WOI,2011-09-06,2011-09-20
Steady_State,2011-09-20,2011-09-21
WOI,2011-09-21,2011-09-22
Crisis,2011-09-22,2011-09-23
WOI,2011-09-23,2011-09-30
Crisis,2011-09-30,2011-10-07
WOI,2011-10-07,2011-10-10
Crisis,2011-10-10,2011-10-12
WOI,2011-10-12,2011-10-17
Crisis,2011-10-17,2011-10-18
WOI,2011-10-18,2011-10-24
Crisis,2011-10-24,2011-10-25
WOI,2011-10-25,2011-10-27
Crisis,2011-10-27,2011-10-28
WOI,2011-10-28,2011-10-31
Crisis,2011-10-31,2011-11-02
WOI,2011-11-02,2011-11-07
Steady_State,2011-11-07,2011-11-09
Crisis,2011-11-09,2011-11-10
WOI,2011-11-10,2011-11-24
Inflation,2011-11-24,2011-11-25
WOI,2011-11-25,2011-12-01
Crisis,2011-12-01,2011-12-02
WOI,2011-12-02,2011-12-16
Steady_State,2011-12-16,2011-12-19
WOI,2011-12-19,2011-12-22
Steady_State,2011-12-22,2011-12-26
Inflation,2011-12-26,2011-12-27
Steady_State,2011-12-27,2011-12-28
WOI,2011-12-28,2011-12-29
Steady_State,2011-12-29,2012-01-02
Inflation,2012-01-02,2012-01-03
Crisis,2012-01-03,2012-01-04
WOI,2012-01-04,2012-01-06
Steady_State,2012-01-06,2012-01-10
WOI,2012-01-10,2012-01-11
Steady_State,2012-01-11,2012-01-13
WOI,2012-01-13,2012-01-16
Inflation,2012-01-16,2012-01-17
WOI,2012-01-17,2012-01-20
Steady_State,2012-01-20,2012-01-23
WOI,2012-01-23,2012-01-24
Steady_State,2012-01-24,2012-01-25
WOI,2012-01-25,2012-01-27
Steady_State,2012-01-27,2012-01-30
WOI,2012-01-30,2012-01-31
Steady_State,2012-01-31,2012-02-03
WOI,2012-02-03,2012-02-06
Steady_State,2012-02-06,2012-02-10
WOI,2012-02-10,2012-02-13
Steady_State,2012-02-13,2012-02-16
WOI,2012-02-16,2012-02-17
Steady_State,2012-02-17,2012-02-20
Inflation,2012-02-20,2012-02-21
Steady_State,2012-02-21,2012-03-02
WOI,2012-03-02,2012-03-05
Steady_State,2012-03-05,2012-03-06
WOI,2012-03-06,2012-03-07
Steady_State,2012-03-07,2012-03-13
WOI,2012-03-13,2012-03-16
Steady_State,2012-03-16,2012-03-22
WOI,2012-03-22,2012-03-23
Steady_State,2012-03-23,2012-04-04
WOI,2012-04-04,2012-04-05
Steady_State,2012-04-05,2012-04-10
WOI,2012-04-10,2012-04-16
Steady_State,2012-04-16,2012-04-17
WOI,2012-04-17,2012-04-18
Steady_State,2012-04-18,2012-05-02
WOI,2012-05-02,2012-05-03
Steady_State,2012-05-03,2012-05-04
WOI,2012-05-04,2012-05-07
Steady_State,2012-05-07,2012-05-09
WOI,2012-05-09,2012-05-10
Steady_State,2012-05-10,2012-05-11
WOI,2012-05-11,2012-05-22
Steady_State,2012-05-22,2012-05-23
WOI,2012-05-23,2012-05-24
Steady_State,2012-05-24,2012-05-28
Inflation,2012-05-28,2012-05-29
Steady_State,2012-05-29,2012-05-30
WOI,2012-05-30,2012-05-31
Steady_State,2012-05-31,2012-06-01
WOI,2012-06-01,2012-06-04
Steady_State,2012-06-04,2012-06-06
WOI,2012-06-06,2012-06-07
Steady_State,2012-06-07,2012-06-11
WOI,2012-06-11,2012-06-12
Steady_State,2012-06-12,2012-06-21
WOI,2012-06-21,2012-06-26
Steady_State,2012-06-26,2012-06-29
WOI,2012-06-29,2012-07-04
Inflation,2012-07-04,2012-07-05
Steady_State,2012-07-05,2012-07-06
WOI,2012-07-06,2012-07-09
Steady_State,2012-07-09,2012-07-18
WOI,2012-07-18,2012-07-25
Steady_State,2012-07-25,2012-07-26
WOI,2012-07-26,2012-07-31
Steady_State,2012-07-31,2012-08-02
WOI,2012-08-02,2012-08-06
Steady_State,2012-08-06,2012-09-03
Inflation,2012-09-03,2012-09-04
Steady_State,2012-09-04,2012-09-06
WOI,2012-09-06,2012-09-10
Steady_State,2012-09-10,2012-09-13
WOI,2012-09-13,2012-09-18
Steady_State,2012-09-18,2012-09-25
WOI,2012-09-25,2012-09-28
Steady_State,2012-09-28,2012-10-03
WOI,2012-10-03,2012-10-05
Steady_State,2012-10-05,2012-10-11
WOI,2012-10-11,2012-10-18
Steady_State,2012-10-18,2012-10-19
WOI,2012-10-19,2012-10-22
Steady_State,2012-10-22,2012-10-23
WOI,2012-10-23,2012-10-24
Steady_State,2012-10-24,2012-10-30
Inflation,2012-10-30,2012-10-31
Steady_State,2012-10-31,2012-11-01
WOI,2012-11-01,2012-11-05
Steady_State,2012-11-05,2012-11-06
WOI,2012-11-06,2012-11-09
Steady_State,2012-11-09,2012-11-14
WOI,2012-11-14,2012-11-16
Steady_State,2012-11-16,2012-11-19
WOI,2012-11-19,2012-11-20
Steady_State,2012-11-20,2012-11-22
Inflation,2012-11-22,2012-11-23
Steady_State,2012-11-23,2012-12-05
WOI,2012-12-05,2012-12-06
Steady_State,2012-12-06,2012-12-13
WOI,2012-12-13,2012-12-14
Steady_State,2012-12-14,2012-12-17
WOI,2012-12-17,2012-12-19
Steady_State,2012-12-19,2012-12-21
WOI,2012-12-21,2012-12-24
Steady_State,2012-12-24,2012-12-25
Inflation,2012-12-25,2012-12-26
Steady_State,2012-12-26,2012-12-28
WOI,2012-12-28,2013-01-01
Inflation,2013-01-01,2013-01-02
WOI,2013-01-02,2013-01-03
Steady_State,2013-01-03,2013-01-21
Inflation,2013-01-21,2013-01-22
Steady_State,2013-01-22,2013-01-30
WOI,2013-01-30,2013-01-31
Steady_State,2013-01-31,2013-02-18
Inflation,2013-02-18,2013-02-19
Steady_State,2013-02-19,2013-02-20
WOI,2013-02-20,2013-02-21
Steady_State,2013-02-21,2013-02-25
WOI,2013-02-25,2013-02-28
Steady_State,2013-02-28,2013-03-29
Inflation,2013-03-29,2013-04-01
Steady_State,2013-04-01,2013-04-15
WOI,2013-04-15,2013-04-16
Steady_State,2013-04-16,2013-04-18
WOI,2013-04-18,2013-04-19
Steady_State,2013-04-19,2013-05-10
WOI,2013-05-10,2013-05-13
Steady_State,2013-05-13,2013-05-23
WOI,2013-05-23,2013-05-24
Steady_State,2013-05-24,2013-05-27
Inflation,2013-05-27,2013-05-28
WOI,2013-05-28,2013-05-30
Steady_State,2013-05-30,2013-05-31
WOI,2013-05-31,2013-06-04
Steady_State,2013-06-04,2013-06-05
WOI,2013-06-05,2013-06-18
Steady_State,2013-06-18,2013-06-19
WOI,2013-06-19,2013-06-20
Crisis,2013-06-20,2013-06-21
WOI,2013-06-21,2013-06-28
Steady_State,2013-06-28,2013-07-04
Inflation,2013-07-04,2013-07-05
WOI,2013-07-05,2013-07-09
Steady_State,2013-07-09,2013-07-11
WOI,2013-07-11,2013-07-12
Steady_State,2013-07-12,2013-07-24
WOI,2013-07-24,2013-07-25
Steady_State,2013-07-25,2013-08-02
WOI,2013-08-02,2013-08-05
Steady_State,2013-08-05,2013-08-15
WOI,2013-08-15,2013-08-16
Steady_State,2013-08-16,2013-08-19
WOI,2013-08-19,2013-08-21
Steady_State,2013-08-21,2013-08-23
WOI,2013-08-23,2013-08-26
Steady_State,2013-08-26,2013-08-27
WOI,2013-08-27,2013-08-28
Steady_State,2013-08-28,2013-09-02
Inflation,2013-09-02,2013-09-03
Steady_State,2013-09-03,2013-09-18
WOI,2013-09-18,2013-09-20
Steady_State,2013-09-20,2013-09-24
WOI,2013-09-24,2013-09-25
Steady_State,2013-09-25,2013-10-01
WOI,2013-10-01,2013-10-02
Steady_State,2013-10-02,2013-10-07
WOI,2013-10-07,2013-10-09
Steady_State,2013-10-09,2013-10-10
WOI,2013-10-10,2013-10-11
Steady_State,2013-10-11,2013-10-16
WOI,2013-10-16,2013-10-17
Steady_State,2013-10-17,2013-11-08
WOI,2013-11-08,2013-11-11
Steady_State,2013-11-11,2013-11-13
WOI,2013-11-13,2013-11-14
Steady_State,2013-11-14,2013-11-28
Inflation,2013-11-28,2013-11-29
Steady_State,2013-11-29,2013-12-19
WOI,2013-12-19,2013-12-20
Steady_State,2013-12-20,2013-12-25
Inflation,2013-12-25,2013-12-26
Steady_State,2013-12-26,2014-01-01
Inflation,2014-01-01,2014-01-02
Steady_State,2014-01-02,2014-01-20
Inflation,2014-01-20,2014-01-21
Steady_State,2014-01-21,2014-01-24
WOI,2014-01-24,2014-01-28
Steady_State,2014-01-28,2014-01-29
WOI,2014-01-29,2014-02-05
Steady_State,2014-02-05,2014-02-06
WOI,2014-02-06,2014-02-10
Steady_State,2014-02-10,2014-02-11
WOI,2014-02-11,2014-02-12
Steady_State,2014-02-12,2014-02-17
Inflation,2014-02-17,2014-02-18
Steady_State,2014-02-18,2014-03-03
WOI,2014-03-03,2014-03-04
Steady_State,2014-03-04,2014-03-21
WOI,2014-03-21,2014-03-24
Steady_State,2014-03-24,2014-04-07
WOI,2014-04-07,2014-04-08
Steady_State,2014-04-08,2014-04-09
WOI,2014-04-09,2014-04-17
Steady_State,2014-04-17,2014-04-18
Inflation,2014-04-18,2014-04-21
Steady_State,2014-04-21,2014-05-26
Inflation,2014-05-26,2014-05-27
Steady_State,2014-05-27,2014-06-12
WOI,2014-06-12,2014-06-13
Steady_State,2014-06-13,2014-07-04
Inflation,2014-07-04,2014-07-07
Steady_State,2014-07-07,2014-07-31
WOI,2014-07-31,2014-08-06
Steady_State,2014-08-06,2014-08-08
WOI,2014-08-08,2014-08-11
Steady_State,2014-08-11,2014-08-13
WOI,2014-08-13,2014-08-14
Steady_State,2014-08-14,2014-08-15
WOI,2014-08-15,2014-08-18
Steady_State,2014-08-18,2014-09-01
Inflation,2014-09-01,2014-09-02
Steady_State,2014-09-02,2014-09-25
WOI,2014-09-25,2014-09-29
Steady_State,2014-09-29,2014-10-01
WOI,2014-10-01,2014-10-06
Steady_State,2014-10-06,2014-10-07
WOI,2014-10-07,2014-10-20
Steady_State,2014-10-20,2014-10-21
WOI,2014-10-21,2014-10-22
Steady_State,2014-10-22,2014-10-28
WOI,2014-10-28,2014-10-29
Steady_State,2014-10-29,2014-10-31
WOI,2014-10-31,2014-11-03
Steady_State,2014-11-03,2014-11-05
WOI,2014-11-05,2014-11-06
Steady_State,2014-11-06,2014-11-27
Inflation,2014-11-27,2014-11-28
WOI,2014-11-28,2014-12-02
Steady_State,2014-12-02,2014-12-09
WOI,2014-12-09,2014-12-11
Steady_State,2014-12-11,2014-12-12
WOI,2014-12-12,2014-12-16
Crisis,2014-12-16,2014-12-17
WOI,2014-12-17,2014-12-19
Steady_State,2014-12-19,2014-12-25
Inflation,2014-12-25,2014-12-26
Steady_State,2014-12-26,2015-01-01
Inflation,2015-01-01,2015-01-02
Steady_State,2015-01-02,2015-01-05
WOI,2015-01-05,2015-01-09
Steady_State,2015-01-09,2015-01-14
WOI,2015-01-14,2015-01-16
Steady_State,2015-01-16,2015-01-19
Inflation,2015-01-19,2015-01-20
Steady_State,2015-01-20,2015-01-23
WOI,2015-01-23,2015-01-26
Steady_State,2015-01-26,2015-01-27
WOI,2015-01-27,2015-01-29
Steady_State,2015-01-29,2015-01-30
WOI,2015-01-30,2015-02-04
Steady_State,2015-02-04,2015-02-06
WOI,2015-02-06,2015-02-09
Steady_State,2015-02-09,2015-02-10
WOI,2015-02-10,2015-02-11
Steady_State,2015-02-11,2015-02-12
WOI,2015-02-12,2015-02-13
Steady_State,2015-02-13,2015-02-16
Inflation,2015-02-16,2015-02-17
Steady_State,2015-02-17,2015-03-06
WOI,2015-03-06,2015-03-09
Steady_State,2015-03-09,2015-03-10
WOI,2015-03-10,2015-03-11
Steady_State,2015-03-11,2015-03-12
WOI,2015-03-12,2015-03-13
Steady_State,2015-03-13,2015-03-16
WOI,2015-03-16,2015-03-17
Steady_State,2015-03-17,2015-03-18
Crisis,2015-03-18,2015-03-19
WOI,2015-03-19,2015-03-23
Steady_State,2015-03-23,2015-03-25
WOI,2015-03-25,2015-03-26
Steady_State,2015-03-26,2015-03-31
WOI,2015-03-31,2015-04-01
Steady_State,2015-04-01,2015-04-03
Crisis,2015-04-03,2015-04-06
Steady_State,2015-04-06,2015-04-08
WOI,2015-04-08,2015-04-09
Steady_State,2015-04-09,2015-04-29
WOI,2015-04-29,2015-04-30
Steady_State,2015-04-30,2015-05-05
WOI,2015-05-05,2015-05-06
Steady_State,2015-05-06,2015-05-08
WOI,2015-05-08,2015-05-11
Steady_State,2015-05-11,2015-05-12
WOI,2015-05-12,2015-05-13
Steady_State,2015-05-13,2015-05-25
Inflation,2015-05-25,2015-05-26
Steady_State,2015-05-26,2015-06-02
WOI,2015-06-02,2015-06-04
